filename,N,R,REC,D_L,DET,H_L,V_L,LAM,CORM
P48_IMG117_10111_rqa_data.npz,16,8,6.666666666666667,2,25.0,4,4,50.0,14.166666666666666
P40_IMG107_10111_rqa_data.npz,32,17,3.4274193548387095,5,29.41176470588235,0,4,11.764705882352942,32.82732447817837
P49_IMG081_00100_rqa_data.npz,46,102,9.855072463768115,36,35.294117647058826,47,39,42.15686274509804,31.50326797385621
P07_IMG024_01000_rqa_data.npz,37,40,6.006006006006006,17,42.5,18,5,28.75,26.458333333333332
P36_IMG057_00100_rqa_data.npz,17,3,2.2058823529411766,0,0.0,0,0,0.0,35.416666666666664
P35_IMG063_00100_rqa_data.npz,21,18,8.571428571428571,2,11.11111111111111,8,2,27.77777777777778,30.0
P22_IMG133_00101_rqa_data.npz,34,16,2.8520499108734403,3,18.75,4,2,18.75,21.59090909090909
P35_IMG005_10100_rqa_data.npz,34,55,9.803921568627452,15,27.272727272727273,22,6,25.454545454545453,31.12947658402204
P47_IMG010_10000_rqa_data.npz,35,51,8.571428571428571,10,19.607843137254903,19,11,29.41176470588235,35.351787773933104
P30_IMG078_00100_rqa_data.npz,28,49,12.962962962962964,20,40.816326530612244,7,18,25.510204081632654,37.03703703703704
P20_IMG122_10111_rqa_data.npz,34,52,9.269162210338681,9,17.307692307692307,28,28,53.84615384615385,32.16783216783217
P23_IMG116_10111_rqa_data.npz,27,18,5.128205128205129,6,33.333333333333336,4,4,22.22222222222222,30.76923076923077
P01_IMG151_10011_rqa_data.npz,56,38,2.4675324675324677,9,23.68421052631579,4,8,15.789473684210526,13.636363636363637
P09_IMG127_00011_rqa_data.npz,31,10,2.150537634408602,0,0.0,0,2,10.0,44.0
P42_IMG110_10001_rqa_data.npz,23,9,3.5573122529644268,2,22.22222222222222,0,4,22.22222222222222,14.141414141414142
P20_IMG018_01000_rqa_data.npz,23,9,3.5573122529644268,0,0.0,0,0,0.0,35.85858585858586
P22_IMG080_00100_rqa_data.npz,22,9,3.896103896103896,2,22.22222222222222,0,0,0.0,39.682539682539684
P09_IMG141_10011_rqa_data.npz,68,47,2.0632133450395083,15,31.914893617021278,15,13,29.78723404255319,9.749126706891076
P41_IMG142_00001_rqa_data.npz,36,25,3.9682539682539684,4,16.0,4,6,20.0,31.085714285714285
P31_IMG093_00110_rqa_data.npz,24,22,7.971014492753623,0,0.0,0,6,13.636363636363637,34.387351778656125
P38_IMG068_00100_rqa_data.npz,45,151,15.252525252525253,59,39.0728476821192,98,67,54.63576158940398,31.29139072847682
P19_IMG107_10111_rqa_data.npz,26,15,4.615384615384615,2,13.333333333333334,4,4,26.666666666666668,32.0
P45_IMG060_00100_rqa_data.npz,23,13,5.138339920948616,2,15.384615384615385,3,2,19.23076923076923,36.71328671328671
P46_IMG054_00100_rqa_data.npz,36,47,7.4603174603174605,14,29.78723404255319,8,4,12.76595744680851,30.94224924012158
P10_IMG081_00100_rqa_data.npz,18,14,9.15032679738562,2,14.285714285714286,4,6,35.714285714285715,29.831932773109244
P12_IMG019_01000_rqa_data.npz,20,7,3.6842105263157894,0,0.0,2,0,14.285714285714286,24.81203007518797
P37_IMG108_10001_rqa_data.npz,31,26,5.591397849462366,13,50.0,9,16,48.07692307692308,12.820512820512821
P33_IMG150_10011_rqa_data.npz,42,21,2.4390243902439024,4,19.047619047619047,4,0,9.523809523809524,16.144018583042975
P11_IMG117_10111_rqa_data.npz,23,14,5.533596837944664,2,14.285714285714286,6,5,39.285714285714285,29.22077922077922
