trial_id,participant_id,image_id,duration_s,valid_pct,n_fix,mean_fix_dur,first_fix_latency,mean_sacc_amp,pupil_mean_0p5_2s
P15_IMG062_00100,P15,IMG062,15.05,1.0,44,300.75757575746286,50.0,0.13036470774153203,-0.021611559522020957
P15_IMG063_00100,P15,IMG063,15.05,1.0,46,280.79710144914037,0.0,0.18613874822958,0.061945401705228366
P15_IMG064_00100,P15,IMG064,15.05,1.0,27,507.40740740768337,0.0,0.19096106016188436,0.27124265782973356
P15_IMG065_00100,P15,IMG065,15.05,1.0,40,332.083333333116,0.0,0.16267842043322336,0.0928296099652301
P15_IMG066_00100,P15,IMG066,15.05,1.0,47,279.0780141844236,0.0,0.1593632841356891,-0.21848758236392513
P15_IMG067_00100,P15,IMG067,15.05,1.0,35,390.47619047622595,83.33333333209157,0.15732276737387796,0.3080299293601906
P15_IMG068_00100,P15,IMG068,15.05,1.0,39,344.4444444446992,0.0,0.16643001243917574,0.08734508137126545
P15_IMG069_00100,P15,IMG069,15.033333333332092,1.0,38,351.7543859647489,0.0,0.20108941002918457,0.16729686024424795
P15_IMG070_00100,P15,IMG070,15.05,1.0,37,362.16216216206146,0.0,0.2032755361464504,-0.10972779661744463
P15_IMG071_00100,P15,IMG071,15.0,1.0,39,325.6410256408346,0.0,0.21999671606510016,0.05313129914112578
P15_IMG072_00100,P15,IMG072,15.05,1.0,36,379.6296296298711,0.0,0.18952803054973652,0.018158713539878087
P15_IMG073_00100,P15,IMG073,15.01666666666791,1.0,38,332.0175438598779,0.0,0.23091802092090913,0.04415348597935268
P15_IMG074_00101,P15,IMG074,15.05,1.0,36,380.5555555557625,0.0,0.1553130707206732,-0.06208574902880325
P15_IMG075_00100,P15,IMG075,15.033333333332092,1.0,34,380.3921568627086,0.0,0.20280083013951647,-0.03543283651163292
P15_IMG076_00101,P15,IMG076,14.95,1.0,36,289.8148148149873,33.33333333209157,0.31434842778298433,0.027981014042110227
P15_IMG077_00100,P15,IMG077,15.05,1.0,40,321.6666666666977,0.0,0.26067652426502314,-0.19926745392555414
P15_IMG078_00100,P15,IMG078,15.033333333335817,1.0,43,304.26356589187714,0.0,0.18624999049434615,0.03657364059280562
P15_IMG079_00100,P15,IMG079,15.05,1.0,33,409.09090909102196,0.0,0.1988683193744487,-0.11630970043140454
P15_IMG080_00100,P15,IMG080,15.05,1.0,35,370.0000000003193,0.0,0.22448622008266134,0.23290814410199176
P15_IMG081_00100,P15,IMG081,15.05,1.0,32,424.4791666662786,0.0,0.17147190990207312,0.04346642127403845
P15_IMG082_00101,P15,IMG082,15.05,1.0,39,343.1623931621703,0.0,0.15937782884786475,0.08888487763457247
P15_IMG083_00100,P15,IMG083,15.05,1.0,46,281.15942029055697,0.0,0.19826565480491787,0.2722477336506267
P15_IMG084_00101,P15,IMG084,15.033333333332092,1.0,35,370.4761904760131,0.0,0.21097046683001247,-0.14972385140352468
P15_IMG085_00100,P15,IMG085,15.05,1.0,38,343.421052631775,0.0,0.1820606406282847,0.14394655332460507
P15_IMG086_00100,P15,IMG086,15.05,1.0,33,389.3939393939394,0.0,0.21088586427744707,0.1104666741339715
P15_IMG087_00101,P15,IMG087,14.98333333333209,1.0,45,270.37037037039795,0.0,0.20655449278183788,-0.2888498830271291
P15_IMG088_00111,P15,IMG088,15.05,1.0,55,223.93939393928105,33.33333333209157,0.2069736311606764,-0.22979790823800222
P15_IMG089_00110,P15,IMG089,15.05,1.0,37,357.6576576571207,0.0,0.2056528778118922,-0.02492850167410716
P15_IMG090_00110,P15,IMG090,14.85,1.0,35,372.85714285714283,0.0,0.2305702442078196,-0.25335953261826066
P15_IMG091_00110,P15,IMG091,15.033333333335817,1.0,34,399.9999999998904,0.0,0.19739867552520096,0.029795803866543607
P15_IMG092_00111,P15,IMG092,15.05,1.0,34,405.3921568627086,0.0,0.14271418809995615,-0.42323428981906763
